"id","t","p","p_adj"
"202291_s_at",22.0930983491556,9.09414354526697e-46,2.78826441097885e-43
"202311_s_at",13.4528891284117,2.32501973291768e-26,1.51027764854356e-25
"202363_at",21.511657049053,3.27631989290153e-44,5.02259839581805e-42
"202376_at",2.22256590473197,0.0282442777595088,0.0354614887840516
"202409_at",8.70539967618117,1.19243032642776e-14,3.11944657067194e-14
"202435_s_at",15.1777036212698,2.79926586357369e-23,1.43042485628616e-22
"202436_s_at",17.8158762578919,1.87868005471714e-28,1.50786205438815e-27
"202437_s_at",18.0693198782111,8.35151312505346e-29,6.88326323693923e-28
"202499_s_at",11.1485461348303,1.12642710651902e-19,4.31703188573414e-19
"202555_s_at",15.6503971100732,3.89149141909345e-28,2.96798823157724e-27
"202627_s_at",9.74264127636974,2.3790433307312e-16,7.13712999219361e-16
"202628_s_at",9.06825478264557,1.42210639263438e-14,3.68881404383842e-14
"202746_at",4.45449419503397,1.77695393532092e-05,2.74051346362875e-05
"202765_s_at",17.8293991904455,2.57068120816045e-34,4.3787269912333e-33
"202766_s_at",19.9294040280703,1.35291726745369e-41,1.22001304176853e-39
"202888_s_at",0.617678627826523,0.537851799444782,0.568639178309552
"202917_s_at",7.90464942862999,1.16904502890633e-12,2.67085846395441e-12
"202920_at",12.6986868629755,2.93944768613829e-20,1.18272265166667e-19
"202952_s_at",14.3273073803687,4.12420107394438e-24,2.22619726984392e-23
"202965_s_at",0.143327418787885,0.886255127431487,0.896784891321762
"202966_at",-0.673464229136302,0.501846918599985,0.535373226314389
"202988_s_at",8.89202945582656,5.29016584171254e-15,1.41286136504274e-14
"202992_at",9.65727697110078,1.1915601297605e-14,3.11944657067194e-14
"202994_s_at",16.7984171807959,1.98531323799629e-33,2.85428052928433e-32
"202995_s_at",17.7178237042205,2.17135893774681e-36,5.28364008185056e-35
"203000_at",6.09008441040962,3.42814508295847e-08,6.12511236850273e-08
"203001_s_at",6.14193825214685,2.99044403631763e-08,5.35554989214361e-08
"203083_at",17.7120302122388,1.32537436482131e-36,3.44372695130688e-35
"203153_at",10.8020350762102,2.71676247383063e-19,1.02329161483596e-18
"203240_at",-16.219112705683,4.69073571771229e-29,3.9949432529183e-28
"203290_at",2.75815344731503,0.00689612382262609,0.00910573455649078
"203305_at",15.4377952858134,5.81217897649066e-28,4.34637579071228e-27
"203382_s_at",16.1446448249737,7.06413458063001e-30,6.89765497586357e-29
"203404_at",11.3018679399057,1.015190114537e-20,4.21757844332037e-20
"203423_at",8.51190461450448,1.8742344648959e-13,4.54620480171742e-13
"203434_s_at",3.1217405273063,0.00248915389839659,0.00338286606936346
"203485_at",11.8112230848865,6.93287604530626e-20,2.73215912016825e-19
"203548_s_at",2.66857011993431,0.00858561237602493,0.0112782722985829
"203561_at",13.4763683321269,2.6646914518593e-25,1.57720926474915e-24
"203570_at",14.752479155043,5.53888879191854e-29,4.66544863626985e-28
"203603_s_at",17.0532704772766,1.17357843245917e-31,1.37335552439688e-30
"203645_s_at",15.9137176320208,4.25459347128997e-31,4.69229625286872e-30
"203649_s_at",-2.89115195221088,0.00458417916001076,0.00611091013243174
"203680_at",4.58867596291201,1.02635958036415e-05,1.61209962776459e-05
"203688_at",17.3390466778811,2.40002094284368e-35,4.90376579491642e-34
"203691_at",-5.02077964944086,1.99915661267108e-06,3.26032668853699e-06
"203695_s_at",19.4878870059243,3.82403048554044e-36,8.8821799005053e-35
"203697_at",-1.24637306480424,0.214836981935187,0.245048432519823
"203698_s_at",-1.43002468860107,0.155072689241359,0.179823322698187
"203766_s_at",14.3702037878612,9.98899659463377e-23,4.77044603725033e-22
"203798_s_at",-0.308326767732144,0.758402346212716,0.776640478786969
"203815_at",0.882790541513596,0.37901928989928,0.41621530903696
"203817_at",18.3898285706435,8.75368323516906e-38,3.0498628180714e-36
"203819_s_at",1.49409029155174,0.137879260951818,0.161104349877391
"203820_s_at",1.52037742885162,0.131158932679543,0.154074056549992
"203860_at",-6.59699608593529,1.07528878504983e-09,2.0579496972302e-09
"203874_s_at",11.604679454602,9.62005023679078e-22,4.29957347317792e-21
"203876_s_at",7.78445331357278,2.40300831287792e-11,5.02566404316759e-11
"203881_s_at",7.33001609410843,7.23415398621114e-11,1.47866107478156e-10
"203889_at",0.183467456334769,0.854727529732226,0.866162820981484
"203892_at",-5.0416197944602,1.51324520327515e-06,2.4944138673342e-06
"203896_s_at",-4.60327402114272,1.31402842948192e-05,2.04716014471116e-05
"203908_at",-6.1598537627219,8.58650511054507e-09,1.58400870450849e-08
"203913_s_at",0.665365695506237,0.507113661803014,0.540615607471502
"203915_at",6.09965788073636,1.54397066218472e-08,2.80439220986869e-08
"203946_s_at",-1.50550904405588,0.134775045107066,0.158079681827951
"203951_at",14.5269022734321,2.98503955891952e-23,1.51525352444491e-22
"203980_at",10.6658243403871,6.16262173358575e-16,1.79606447102414e-15
"203999_at",0.350913406772497,0.726213431193997,0.746169698405093
"204006_s_at",13.6072843863986,2.25579022630925e-25,1.35083063161409e-24
"204007_at",12.630143076924,4.16265453480936e-23,2.08540830126234e-22
"204030_s_at",16.4898324444238,1.28131727300047e-29,1.1762032212633e-28
"204035_at",9.1471595268799,3.79969900468085e-15,1.03398404115774e-14
"204042_at",9.68980957895223,1.81133561946863e-16,5.49856931612953e-16
"204051_s_at",17.8830154745205,3.22081880223688e-35,6.2500192706698e-34
"204052_s_at",15.1732937740141,1.77696278628645e-25,1.08098569499093e-24
"204069_at",17.384249758641,1.7617666299254e-32,2.21376085547183e-31
"204105_s_at",-1.8409438040491,0.0678768134838415,0.0825179659561689
"204154_at",10.8232055519681,4.24669583463165e-16,1.25195859894044e-15
"204179_at",-7.99458404822935,7.45683149007422e-13,1.73201858701269e-12
"204213_at",-9.04966841961424,3.081800073544e-15,8.45151970079239e-15
"204221_x_at",8.37882246502949,6.98204194868162e-14,1.74040167598844e-13
"204222_s_at",9.43917796717658,4.0724291167551e-16,1.20289669286812e-15
"204235_s_at",12.6874091348684,3.22650253529658e-24,1.76651013807488e-23
"204237_at",12.743335153073,3.82619700175703e-24,2.0799858169126e-23
"204259_at",2.91783707825749,0.00426602890600055,0.00571163520777192
"204260_at",1.12226616747807,0.264271699982571,0.298107811680119
"204268_at",2.69275005376088,0.00840211925355059,0.0110466970975069
"204273_at",1.18733486891671,0.237361332874957,0.269138256876708
"204284_at",14.4214272178706,3.385520712344e-23,1.70723791184979e-22
"204298_s_at",11.9308144734915,3.16803670848382e-20,1.27136132829992e-19
"204304_s_at",-6.37728266587735,1.04204156398311e-08,1.91082502103602e-08
"204320_at",13.2395302068265,5.07619564836547e-24,2.69266710344092e-23
"204337_at",9.90450776544233,2.45735288665461e-16,7.35766010789359e-16
"204338_s_at",6.38332593105203,9.07138237608213e-09,1.6714458152084e-08
"204359_at",18.6952974397951,1.47577507210973e-34,2.60041745464853e-33
"204364_s_at",7.3075429385067,2.77885076297291e-10,5.47555041084508e-10
"204365_s_at",6.17586839151695,3.66830637043145e-08,6.54658168320305e-08
"204409_s_at",-1.16086354772202,0.248047159986224,0.280424997241063
"204410_at",-1.24604354370653,0.215232560626111,0.245317111851173
"204416_x_at",11.4963390617232,4.07771113099176e-19,1.5062966659784e-18
"204422_s_at",6.28285817739809,1.43559285989044e-08,2.61373379360099e-08
"204424_s_at",8.77061660035498,1.96575497800405e-12,4.43162114894149e-12
"204437_s_at",-0.718192792987361,0.47405698995116,0.50927075374571
"204438_at",15.1105008234809,8.60327138053618e-30,8.29485221783772e-29
"204439_at",8.30408148308476,4.20572843076426e-13,9.9343323333769e-13
"204457_s_at",24.2618695822432,4.43122693936629e-49,6.79307089804853e-46
"204463_s_at",14.9350092296726,4.18848745524999e-29,3.60173687234376e-28
"204464_s_at",16.3771448230831,2.07856696326918e-33,2.92334234375382e-32
"204466_s_at",9.15524487575047,1.34073755444201e-15,3.78517618961254e-15
"204468_s_at",12.4818820075186,4.65250663087645e-21,1.98119240698155e-20
"204471_at",8.26592794957329,1.05010025140706e-11,2.24832916956287e-11
"204475_at",1.60509970378896,0.111455986575022,0.132143872714237
"204527_at",14.9013516031229,2.92146783410679e-26,1.88970894079566e-25
